date,fund_code,price,回撤%,评分,操作
2025-12-17,014777,1.1957,-12.32,1,⏳ 锁仓观望
2025-12-23,002052,1.887,-11.99,1,⏳ 锁仓观望
2025-12-23,011613,1.0601,-11.77,1,⏳ 锁仓观望
2025-12-23,012729,1.5263,-12.5,1,⏳ 锁仓观望
2025-12-23,011329,1.369,-10.63,1,⏳ 锁仓观望
2025-12-23,008182,0.9555,-13.3,1,⏳ 锁仓观望
2025-12-17,013894,1.1584,-13.5,1,⏳ 锁仓观望
2025-12-23,013811,0.9384,-12.27,1,⏳ 锁仓观望
2025-12-17,015788,1.4446,-13.81,1,⏳ 锁仓观望
2025-12-17,012040,1.3161,-11.0,1,⏳ 锁仓观望
2025-12-23,012630,1.0181,-10.53,1,⏳ 锁仓观望
2025-12-17,013292,1.986,-13.88,1,⏳ 锁仓观望
2025-12-17,012809,1.077,-10.04,1,⏳ 锁仓观望
2025-12-17,014194,1.1857,-10.6,1,⏳ 锁仓观望
2025-12-23,011609,1.0302,-12.11,1,⏳ 锁仓观望
2025-12-23,018558,1.2462,-15.84,5,⏳ 锁仓观望
2025-12-23,020635,1.6447,-15.97,3,⏳ 锁仓观望
2025-12-23,012651,1.2228,-10.6,1,⏳ 锁仓观望
2025-12-17,015895,1.4361,-13.01,1,⏳ 锁仓观望
2025-12-23,013340,1.2727,-10.81,1,⏳ 锁仓观望
2025-12-17,014419,1.1153,-11.08,1,⏳ 锁仓观望
2025-12-23,018897,1.8061,-10.39,1,⏳ 锁仓观望
2025-12-23,020398,1.6691,-15.56,5,⏳ 锁仓观望
2025-12-23,016008,1.5749,-10.49,1,⏳ 锁仓观望
2025-12-17,002974,1.5355,-10.92,1,⏳ 锁仓观望
2025-12-17,015676,1.6066,-10.03,1,⏳ 锁仓观望
2025-12-23,015144,1.6907,-14.11,1,⏳ 锁仓观望
2025-12-23,008888,1.4963,-10.22,1,⏳ 锁仓观望
2025-12-17,010956,1.0695,-13.63,1,⏳ 锁仓观望
2025-12-17,015337,1.2417,-12.49,1,⏳ 锁仓观望
2025-12-23,011145,1.886,-10.93,1,⏳ 锁仓观望
2025-12-23,008282,1.8409,-10.13,1,⏳ 锁仓观望
2025-12-23,014143,8.439,-15.13,3,⏳ 锁仓观望
2025-12-23,010214,1.0045,-12.06,1,⏳ 锁仓观望
2025-12-23,016616,3.8273,-12.12,1,⏳ 锁仓观望
2025-12-23,012553,1.1048,-10.03,1,⏳ 锁仓观望
2025-12-23,008532,1.1206,-11.51,1,⏳ 锁仓观望
2025-12-23,021031,1.7795,-15.62,5,⏳ 锁仓观望
2025-12-17,012838,0.9137,-12.68,1,⏳ 锁仓观望
2025-12-22,006328,1.1301,-13.2,1,⏳ 锁仓观望
2025-12-23,012429,1.1115,-17.25,3,⏳ 锁仓观望
2025-12-23,001770,2.06,-16.9,3,⏳ 锁仓观望
2025-12-23,019599,1.171,-15.67,5,⏳ 锁仓观望
2025-12-17,011611,1.0282,-12.81,1,⏳ 锁仓观望
2025-12-23,020404,1.7499,-12.96,1,⏳ 锁仓观望
2025-12-23,013466,1.1775,-19.71,3,⏳ 锁仓观望
2025-12-23,015877,1.5034,-10.81,1,⏳ 锁仓观望
2025-12-23,011615,1.042,-11.74,1,⏳ 锁仓观望
2025-12-23,010655,1.0267,-14.36,1,⏳ 锁仓观望
2025-12-23,008981,1.7817,-16.36,3,⏳ 锁仓观望
2025-12-17,014172,1.245,-12.94,1,⏳ 锁仓观望
2025-12-23,003305,4.673,-12.56,1,⏳ 锁仓观望
2025-12-17,014332,1.1356,-10.16,1,⏳ 锁仓观望
