基金代码,日期,最新净值,最大回撤,最大连续下跌,近一周连跌,RSI,当日跌幅,止损退出天数,信号,未来1日收益,未来3日收益,未来5日收益,未来10日收益,未来20日收益
006863,2019-08-16,,0.08136681140268072,3,3,,,,无信号,0.012065097092262726,0.01246755206761254,0.009549753496327577,0.006771808028976802,0.056173156253144146
006863,2019-08-19,,0.08136681140268072,4,4,,,,无信号,-0.018036833855799256,-0.016959247648902824,-0.028812695924764892,0.0006818181818182088,0.012241379310344885
006863,2020-02-06,1.1035,0.1287528382810529,3,3,33.58,-0.0142,,无信号,-0.020165382872677676,0.009558223833257929,0.021338921613049414,0.05417535115541472,0.08625509741730858
006863,2020-02-12,1.1459,0.1287528382810529,3,3,45.32,-0.0135,,无信号,-0.01700715594729031,0.0056824330220787665,-0.010723885155772644,0.0007596648922245939,-0.0022074352037698823
006863,2020-04-07,1.1058,0.17056967281182522,3,3,61.43,-0.0205,,无信号,-0.021963284499909405,-0.018165129318140565,0.004623801772472468,0.006756194610237044,0.04401428829806478
006863,2020-04-20,1.1394,0.14251373626373628,3,3,75.86,-0.0133,,无信号,-0.03307969106547301,-0.028428120063191037,-0.037643496577145906,-0.0026303317535545686,0.009305774969282064
006863,2021-03-12,1.8366,0.13825775887073385,3,3,31.2,-0.0032,,无信号,-0.03672492649460963,0.001879015572253031,-0.008466187520418157,-0.003257650005444794,-0.05482032015681145
006863,2021-03-18,1.8921,0.13825775887073385,3,3,45.17,-0.0131,,无信号,-0.03799032820675433,-0.041002853971777345,-0.06214338565614923,-0.03221843454362871,-0.0662018392262565
006863,2021-03-30,1.8768,0.13825775887073385,3,3,59.95,-0.0125,,无信号,-0.037538363171355504,-0.02080775788576307,-0.03370204603580569,-0.06062659846547317,-0.042510656436487645
006863,2021-04-29,1.807,0.07906558849955074,3,3,50.39,-0.0003,,无信号,-0.020810736026563338,-0.03370503597122293,-0.05329551743220804,-0.0198865522966242,0.010993359158826866
006863,2021-05-18,1.7801,0.07963985208210507,3,3,45.0,-0.0015,,无信号,-0.018258243918880975,-0.02235913712712775,-0.003820852761080821,0.026346553564406534,-0.01820150553339704
006863,2021-08-04,1.7286,0.09366268022800948,3,3,41.5,-0.0077,,无信号,-0.013264491496008264,0.005710401480967291,0.0100491727409465,-0.00679335878745799,-0.030049172740946373
