date,net_value
2020-09-24,1.0
2020-09-25,1.0
2020-09-30,1.0
2020-10-09,1.0003
2020-10-16,1.0002
2020-10-23,0.9998
2020-10-30,0.9996
2020-11-03,1.0017
2020-11-04,1.0042
2020-11-05,1.0068
2020-11-06,1.0082
2020-11-09,1.0109
2020-11-10,1.0104
2020-11-11,1.0107
2020-11-12,1.012
2020-11-13,1.0107
2020-11-16,1.0139
2020-11-17,1.0141
2020-11-18,1.0133
2020-11-19,1.0145
2020-11-20,1.0146
2020-11-23,1.0174
2020-11-24,1.0161
2020-11-25,1.0135
2020-11-26,1.0132
2020-11-27,1.0144
2020-11-30,1.0122
2020-12-01,1.014
2020-12-02,1.015
2020-12-03,1.0134
2020-12-04,1.0137
2020-12-07,1.0124
2020-12-08,1.011
2020-12-09,1.008
2020-12-10,1.0085
2020-12-11,1.0081
2020-12-14,1.008
2020-12-15,1.0068
2020-12-16,1.008
2020-12-17,1.0114
2020-12-18,1.0115
2020-12-21,1.0119
2020-12-22,1.0109
2020-12-23,1.0112
2020-12-24,1.0112
2020-12-25,1.0138
2020-12-28,1.0174
2020-12-29,1.0147
2020-12-30,1.0189
2020-12-31,1.0234
2021-01-04,1.0289
2021-01-05,1.0375
2021-01-06,1.0398
2021-01-07,1.0459
2021-01-08,1.0427
2021-01-11,1.038
2021-01-12,1.0467
2021-01-13,1.0449
2021-01-14,1.0377
2021-01-15,1.0366
2021-01-18,1.0409
2021-01-19,1.0349
2021-01-20,1.0387
2021-01-21,1.0443
2021-01-22,1.0483
2021-01-25,1.0525
2021-01-26,1.0457
2021-01-27,1.0445
2021-01-28,1.032
2021-01-29,1.0256
2021-02-01,1.0303
2021-02-02,1.0419
2021-02-03,1.0408
2021-02-04,1.0358
2021-02-05,1.0294
2021-02-08,1.0367
2021-02-09,1.0507
2021-02-10,1.0592
2021-02-18,1.0604
2021-02-19,1.058
2021-02-22,1.0516
2021-02-23,1.0477
2021-02-24,1.0407
2021-02-25,1.0413
2021-02-26,1.0346
2021-03-01,1.04
2021-03-02,1.036
2021-03-03,1.0396
2021-03-04,1.0309
2021-03-05,1.0307
2021-03-08,1.0216
2021-03-09,1.0183
2021-03-10,1.0205
2021-03-11,1.0267
2021-03-12,1.0276
2021-03-15,1.0216
2021-03-16,1.0241
2021-03-17,1.0276
2021-03-18,1.0313
2021-03-19,1.0233
2021-03-22,1.0238
2021-03-23,1.0182
2021-03-24,1.0137
2021-03-25,1.0146
2021-03-26,1.0183
2021-03-29,1.0202
2021-03-30,1.0222
2021-03-31,1.0205
2021-04-01,1.0228
2021-04-02,1.0248
2021-04-06,1.0243
2021-04-07,1.023
2021-04-08,1.0239
2021-04-09,1.022
2021-04-12,1.0206
2021-04-13,1.0208
2021-04-14,1.0217
2021-04-15,1.0223
2021-04-16,1.0233
2021-04-19,1.0253
2021-04-20,1.0262
2021-04-21,1.0257
2021-04-22,1.0259
2021-04-23,1.0265
2021-04-26,1.0256
2021-04-27,1.0251
2021-04-28,1.0267
2021-04-29,1.0278
2021-04-30,1.0277
2021-05-06,1.0288
2021-05-07,1.0289
2021-05-10,1.032
2021-05-11,1.0305
2021-05-12,1.0327
2021-05-13,1.0318
2021-05-14,1.0324
2021-05-17,1.0336
2021-05-18,1.0343
2021-05-19,1.0336
2021-05-20,1.0328
2021-05-21,1.0332
2021-05-24,1.0336
2021-05-25,1.0349
2021-05-26,1.0354
2021-05-27,1.0367
2021-05-28,1.035
2021-05-31,1.0342
2021-06-01,1.0384
2021-06-02,1.0393
2021-06-03,1.0373
2021-06-04,1.0361
2021-06-07,1.0352
2021-06-08,1.0331
2021-06-09,1.0372
2021-06-10,1.0372
2021-06-11,1.0364
2021-06-15,1.033
2021-06-16,1.031
2021-06-17,1.0291
2021-06-18,1.0275
2021-06-21,1.0259
2021-06-22,1.0276
2021-06-23,1.0286
2021-06-24,1.0295
2021-06-25,1.033
2021-06-28,1.0339
2021-06-29,1.0326
2021-06-30,1.0346
2021-07-01,1.0359
2021-07-02,1.0341
2021-07-05,1.0345
2021-07-06,1.0357
2021-07-07,1.0376
2021-07-08,1.0345
2021-07-09,1.0351
2021-07-12,1.0388
2021-07-13,1.0423
2021-07-14,1.0419
2021-07-15,1.0426
2021-07-16,1.0452
2021-07-19,1.0446
2021-07-20,1.0449
2021-07-21,1.0464
2021-07-22,1.0492
2021-07-23,1.0482
2021-07-26,1.0454
2021-07-27,1.0403
2021-07-28,1.0389
2021-07-29,1.043
2021-07-30,1.0441
2021-08-02,1.0471
2021-08-03,1.0452
2021-08-04,1.0479
2021-08-05,1.0464
2021-08-06,1.049
2021-08-09,1.0482
2021-08-10,1.0484
2021-08-11,1.0507
2021-08-12,1.0514
2021-08-13,1.0528
2021-08-16,1.0511
2021-08-17,1.0463
2021-08-18,1.0492
2021-08-19,1.0505
2021-08-20,1.0505
2021-08-23,1.0539
2021-08-24,1.0534
2021-08-25,1.0552
2021-08-26,1.0539
2021-08-27,1.0565
2021-08-30,1.0616
2021-08-31,1.0626
2021-09-01,1.0593
2021-09-02,1.0657
2021-09-03,1.0615
2021-09-06,1.0646
2021-09-07,1.0703
2021-09-08,1.0737
2021-09-09,1.0742
2021-09-10,1.0702
2021-09-13,1.0749
2021-09-14,1.0633
2021-09-15,1.0638
2021-09-16,1.0569
2021-09-17,1.0589
2021-09-22,1.0643
2021-09-23,1.0699
2021-09-24,1.0611
2021-09-27,1.0506
2021-09-28,1.0552
2021-09-29,1.047
2021-09-30,1.0499
2021-10-08,1.0495
2021-10-11,1.0478
2021-10-12,1.0442
2021-10-13,1.0401
2021-10-14,1.0404
2021-10-15,1.0419
2021-10-18,1.0443
2021-10-19,1.0457
2021-10-20,1.045
2021-10-21,1.0456
2021-10-22,1.0422
2021-10-25,1.0439
2021-10-26,1.0433
2021-10-27,1.0423
2021-10-28,1.0379
2021-10-29,1.0369
2021-11-01,1.0393
2021-11-02,1.0369
2021-11-03,1.0376
2021-11-04,1.0386
2021-11-05,1.0361
2021-11-08,1.0378
2021-11-09,1.0374
2021-11-10,1.0365
2021-11-11,1.0367
2021-11-12,1.0373
2021-11-15,1.0376
2021-11-16,1.0367
2021-11-17,1.0368
2021-11-18,1.0369
2021-11-19,1.0377
2021-11-22,1.0392
2021-11-23,1.0395
2021-11-24,1.0402
2021-11-25,1.0401
2021-11-26,1.0402
2021-11-29,1.0406
2021-11-30,1.041
2021-12-01,1.0413
2021-12-02,1.0412
2021-12-03,1.0438
2021-12-06,1.0427
2021-12-07,1.0399
2021-12-08,1.0414
2021-12-09,1.0421
2021-12-10,1.042
2021-12-13,1.0437
2021-12-14,1.0423
2021-12-15,1.0433
2021-12-16,1.0474
2021-12-17,1.0474
2021-12-20,1.0435
2021-12-21,1.047
2021-12-22,1.048
2021-12-23,1.0506
2021-12-24,1.0504
2021-12-27,1.0509
2021-12-28,1.0503
2021-12-29,1.0495
2021-12-30,1.0501
2021-12-31,1.0524
2022-01-04,1.0498
2022-01-05,1.0446
2022-01-06,1.0464
2022-01-07,1.047
2022-01-10,1.0483
2022-01-11,1.046
2022-01-12,1.0489
2022-01-13,1.0469
2022-01-14,1.0445
2022-01-17,1.0459
2022-01-18,1.0504
2022-01-19,1.0521
2022-01-20,1.0515
2022-01-21,1.049
2022-01-24,1.0505
2022-01-25,1.0445
2022-01-26,1.0466
2022-01-27,1.0433
2022-01-28,1.0423
2022-02-07,1.0475
2022-02-08,1.0499
2022-02-09,1.052
2022-02-10,1.0533
2022-02-11,1.0496
2022-02-14,1.0409
2022-02-15,1.038
2022-02-16,1.0397
2022-02-17,1.0413
2022-02-18,1.0426
2022-02-21,1.0409
2022-02-22,1.0385
2022-02-23,1.0404
2022-02-24,1.0392
2022-02-25,1.0396
2022-02-28,1.0407
2022-03-01,1.0419
2022-03-02,1.0413
2022-03-03,1.0408
2022-03-04,1.0371
2022-03-07,1.0326
2022-03-08,1.026
2022-03-09,1.0247
2022-03-10,1.0263
2022-03-11,1.0248
2022-03-14,1.022
2022-03-15,1.0122
2022-03-16,1.0182
2022-03-17,1.0202
2022-03-18,1.0233
2022-03-21,1.0236
2022-03-22,1.0257
2022-03-23,1.0249
2022-03-24,1.024
2022-03-25,1.0218
2022-03-28,1.0236
2022-03-29,1.0242
2022-03-30,1.027
2022-03-31,1.0286
2022-04-01,1.0311
2022-04-06,1.0337
2022-04-07,1.0315
2022-04-08,1.0343
2022-04-11,1.0317
2022-04-12,1.0317
2022-04-13,1.0349
2022-04-14,1.04
2022-04-15,1.0393
2022-04-18,1.0326
2022-04-19,1.0352
2022-04-20,1.0276
2022-04-21,1.0235
2022-04-22,1.0286
2022-04-25,1.0178
2022-04-26,1.015
2022-04-27,1.017
2022-04-28,1.0245
2022-04-29,1.0265
2022-05-05,1.0259
2022-05-06,1.0204
2022-05-09,1.0182
2022-05-10,1.017
2022-05-11,1.0188
2022-05-12,1.0173
2022-05-13,1.0241
2022-05-16,1.0257
2022-05-17,1.0294
2022-05-18,1.0281
2022-05-19,1.0291
2022-05-20,1.0347
2022-05-23,1.0337
2022-05-24,1.0279
2022-05-25,1.0326
2022-05-26,1.0376
2022-05-27,1.0398
2022-05-30,1.039
2022-05-31,1.0413
2022-06-01,1.0425
2022-06-02,1.0419
2022-06-06,1.0488
2022-06-07,1.049
2022-06-08,1.054
2022-06-09,1.0516
2022-06-10,1.0584
2022-06-13,1.0571
2022-06-14,1.0593
2022-06-15,1.0598
2022-06-16,1.0552
2022-06-17,1.0602
2022-06-20,1.0547
2022-06-21,1.0509
2022-06-22,1.0493
2022-06-23,1.0571
2022-06-24,1.0611
2022-06-27,1.0678
2022-06-28,1.0758
2022-06-29,1.0653
2022-06-30,1.0708
2022-07-01,1.0702
2022-07-04,1.0751
2022-07-05,1.0756
2022-07-06,1.066
2022-07-07,1.0707
2022-07-08,1.0651
2022-07-11,1.0563
2022-07-12,1.0543
2022-07-13,1.0544
2022-07-14,1.0612
2022-07-15,1.0624
2022-07-18,1.0675
2022-07-19,1.0656
2022-07-20,1.0681
2022-07-21,1.0614
2022-07-22,1.0603
2022-07-25,1.0538
2022-07-26,1.0603
2022-07-27,1.0661
2022-07-28,1.063
2022-07-29,1.0642
2022-08-01,1.069
2022-08-02,1.0629
2022-08-03,1.0554
2022-08-04,1.0557
2022-08-05,1.0548
2022-08-08,1.0603
2022-08-09,1.0643
2022-08-10,1.0618
2022-08-11,1.0632
2022-08-12,1.0623
2022-08-15,1.0686
2022-08-16,1.073
2022-08-17,1.0742
2022-08-18,1.0748
2022-08-19,1.0692
2022-08-22,1.0718
2022-08-23,1.0725
2022-08-24,1.0611
2022-08-25,1.0596
2022-08-26,1.0559
2022-08-29,1.0584
2022-08-30,1.0536
2022-08-31,1.0374
2022-09-01,1.0392
2022-09-02,1.0407
2022-09-05,1.0455
2022-09-06,1.0572
2022-09-07,1.0598
2022-09-08,1.056
2022-09-09,1.0544
2022-09-13,1.0538
2022-09-14,1.0503
2022-09-15,1.0378
2022-09-16,1.0329
2022-09-19,1.032
2022-09-20,1.0359
2022-09-21,1.0356
2022-09-22,1.0357
2022-09-23,1.0308
2022-09-26,1.0296
2022-09-27,1.0304
2022-09-28,1.0251
2022-09-29,1.0278
2022-09-30,1.0247
2022-10-10,1.024
2022-10-11,1.027
2022-10-12,1.0303
2022-10-13,1.0288
2022-10-14,1.0307
2022-10-17,1.0292
2022-10-18,1.0286
2022-10-19,1.0283
2022-10-20,1.027
2022-10-21,1.027
2022-10-24,1.0263
2022-10-25,1.027
2022-10-26,1.0269
2022-10-27,1.0264
2022-10-28,1.0238
2022-10-31,1.0216
2022-11-01,1.0233
2022-11-02,1.0258
2022-11-03,1.0259
2022-11-04,1.0293
2022-11-07,1.0296
2022-11-08,1.0286
2022-11-09,1.0267
2022-11-10,1.0237
2022-11-11,1.0243
2022-11-14,1.0192
2022-11-15,1.0222
2022-11-16,1.0189
2022-11-17,1.015
2022-11-18,1.0133
2022-11-21,1.0135
2022-11-22,1.0125
2022-11-23,1.013
2022-11-24,1.0137
2022-11-25,1.0132
2022-11-28,1.0111
2022-11-29,1.0128
2022-11-30,1.0153
2022-12-01,1.015
2022-12-02,1.0129
2022-12-05,1.0157
2022-12-06,1.0164
2022-12-07,1.0142
2022-12-08,1.0149
2022-12-09,1.0153
2022-12-12,1.0139
2022-12-13,1.0131
2022-12-14,1.0147
2022-12-15,1.0109
2022-12-16,1.0114
2022-12-19,1.0079
2022-12-20,1.0049
2022-12-21,1.0064
2022-12-22,1.0073
2022-12-23,1.0075
2022-12-26,1.0083
2022-12-27,1.0096
2022-12-28,1.0081
2022-12-29,1.0072
2022-12-30,1.0081
2022-12-31,1.0081
2023-01-03,1.0084
2023-01-04,1.0103
2023-01-05,1.0126
2023-01-06,1.0118
2023-01-09,1.0121
2023-01-10,1.0128
2023-01-11,1.0118
2023-01-12,1.0117
2023-01-13,1.0114
2023-01-16,1.0116
2023-01-17,1.0116
2023-01-18,1.0116
2023-01-19,1.0115
2023-01-20,1.014
2023-01-30,1.0172
2023-01-31,1.0189
2023-02-01,1.0212
2023-02-02,1.0197
2023-02-03,1.0185
2023-02-06,1.0168
2023-02-07,1.017
2023-02-08,1.0161
2023-02-09,1.0192
2023-02-10,1.0168
2023-02-13,1.0193
2023-02-14,1.0183
2023-02-15,1.0184
2023-02-16,1.0168
2023-02-17,1.0132
2023-02-20,1.0177
2023-02-21,1.0177
2023-02-22,1.0166
2023-02-23,1.0169
2023-02-24,1.0152
2023-02-27,1.0158
2023-02-28,1.0167
2023-03-01,1.0185
2023-03-02,1.0175
2023-03-03,1.0156
2023-03-06,1.0161
2023-03-07,1.0121
2023-03-08,1.0121
2023-03-09,1.0113
2023-03-10,1.0076
2023-03-13,1.0114
2023-03-14,1.0082
2023-03-15,1.009
2023-03-16,1.0077
2023-03-17,1.0075
2023-03-20,1.0058
2023-03-21,1.0079
2023-03-22,1.01
2023-03-23,1.0138
2023-03-24,1.0081
2023-03-27,1.0079
2023-03-28,1.0079
2023-03-29,1.0078
2023-03-30,1.0084
2023-03-31,1.0132
2023-04-03,1.0148
2023-04-04,1.0177
2023-04-06,1.0167
2023-04-07,1.017
2023-04-10,1.009
2023-04-11,1.0079
2023-04-12,1.0155
2023-04-13,1.0138
2023-04-14,1.0143
2023-04-17,1.0173
2023-04-18,1.0183
2023-04-19,1.019
2023-04-20,1.0228
2023-04-21,1.0143
2023-04-24,1.0163
2023-04-25,1.0144
2023-04-26,1.0089
2023-04-27,1.0118
2023-04-28,1.022
2023-05-04,1.0314
2023-05-05,1.0288
