date,net_value,cumulative_net_value,daily_growth_rate,purchase_status,redemption_status,dividend
2025-12-03,1.1699,1.1699,-0.0034000000000000002,开放申购,开放赎回,
2025-12-02,1.1739,1.1739,-0.008,开放申购,开放赎回,
2025-12-01,1.1834,1.1834,0.0138,开放申购,开放赎回,
2025-11-28,1.1673,1.1673,0.0072,开放申购,开放赎回,
2025-11-27,1.1589,1.1589,0.0007000000000000001,开放申购,开放赎回,
2025-11-26,1.1581,1.1581,0.0016,开放申购,开放赎回,
2025-11-25,1.1562,1.1562,0.011000000000000001,开放申购,开放赎回,
2025-11-24,1.1436,1.1436,-0.0031,开放申购,开放赎回,
2025-11-21,1.1472,1.1472,-0.0334,开放申购,开放赎回,
2025-11-20,1.1869,1.1869,-0.0125,开放申购,开放赎回,
2025-11-19,1.2019,1.2019,0.0072,开放申购,开放赎回,
2025-11-18,1.1933,1.1933,-0.0208,开放申购,开放赎回,
2025-11-17,1.2187,1.2187,-0.0076,开放申购,开放赎回,
2025-11-14,1.228,1.228,-0.0174,开放申购,开放赎回,
2025-11-13,1.2498,1.2498,0.03,开放申购,开放赎回,
2025-11-12,1.2134,1.2134,-0.011699999999999999,开放申购,开放赎回,
2025-11-11,1.2278,1.2278,-0.0070999999999999995,开放申购,开放赎回,
2025-11-10,1.2366,1.2366,-0.0040999999999999995,开放申购,开放赎回,
2025-11-07,1.2417,1.2417,0.009899999999999999,开放申购,开放赎回,
2025-11-06,1.2295,1.2295,0.0175,开放申购,开放赎回,
2025-11-05,1.2083,1.2083,0.0159,开放申购,开放赎回,
2025-11-04,1.1894,1.1894,-0.0222,开放申购,开放赎回,
2025-11-03,1.2164,1.2164,0.0011,开放申购,开放赎回,
2025-10-31,1.2151,1.2151,-0.0141,开放申购,开放赎回,
2025-10-30,1.2325,1.2325,0.0019,开放申购,开放赎回,
2025-10-29,1.2302,1.2302,0.0352,开放申购,开放赎回,
2025-10-28,1.1884,1.1884,-0.008,开放申购,开放赎回,
2025-10-27,1.198,1.198,0.0134,开放申购,开放赎回,
2025-10-24,1.1822,1.1822,0.0097,开放申购,开放赎回,
2025-10-23,1.1708,1.1708,0.0092,开放申购,开放赎回,
2025-10-22,1.1601,1.1601,-0.008,开放申购,开放赎回,
2025-10-21,1.1695,1.1695,0.0105,开放申购,开放赎回,
2025-10-20,1.1574,1.1574,0.004,开放申购,开放赎回,
2025-10-17,1.1528,1.1528,-0.0286,开放申购,开放赎回,
2025-10-16,1.1868,1.1868,-0.003,开放申购,开放赎回,
2025-10-15,1.1904,1.1904,0.02,开放申购,开放赎回,
2025-10-14,1.1671,1.1671,-0.0213,开放申购,开放赎回,
2025-10-13,1.1925,1.1925,-0.002,开放申购,开放赎回,
2025-10-10,1.1949,1.1949,-0.0325,开放申购,开放赎回,
2025-10-09,1.235,1.235,0.0358,开放申购,开放赎回,
2025-09-30,1.1923,1.1923,0.0165,开放申购,开放赎回,
2025-09-29,1.173,1.173,0.028300000000000002,开放申购,开放赎回,
2025-09-26,1.1407,1.1407,-0.0055000000000000005,开放申购,开放赎回,
2025-09-25,1.147,1.147,0.0161,开放申购,开放赎回,
2025-09-24,1.1288,1.1288,0.0177,开放申购,开放赎回,
2025-09-23,1.1092,1.1092,0.003,开放申购,开放赎回,
2025-09-22,1.1059,1.1059,-0.0016,开放申购,开放赎回,
2025-09-19,1.1077,1.1077,-0.0003,开放申购,开放赎回,
2025-09-18,1.108,1.108,-0.013999999999999999,开放申购,开放赎回,
2025-09-17,1.1237,1.1237,0.013500000000000002,开放申购,开放赎回,
2025-09-16,1.1087,1.1087,-0.0011,开放申购,开放赎回,
2025-09-15,1.1099,1.1099,0.0129,开放申购,开放赎回,
