date,net_value,equity_return,unit_money
2023-09-14,1.279,0.0,
2023-09-17,1.2787,-0.02,
2023-09-18,1.2782,-0.04,
2023-09-19,1.2774,-0.06,
2023-09-20,1.2768,-0.05,
2023-09-21,1.2781,0.1,
2023-09-24,1.278,-0.01,
2023-09-25,1.2781,0.01,
2023-09-26,1.2788,0.05,
2023-09-27,1.2798,0.08,
2023-10-08,1.2784,-0.11,
2023-10-09,1.2772,-0.09,
2023-10-10,1.2812,0.31,
2023-10-11,1.281,-0.02,
2023-10-12,1.2798,-0.09,
2023-10-15,1.2767,-0.24,
2023-10-16,1.2763,-0.03,
2023-10-17,1.2748,-0.12,
2023-10-18,1.2751,0.02,
2023-10-19,1.2745,-0.05,
2023-10-22,1.2734,-0.09,
2023-10-23,1.2791,0.45,
2023-10-24,1.2778,-0.1,
2023-10-25,1.2761,-0.13,
2023-10-26,1.2809,0.38,
2023-10-29,1.2829,0.16,
2023-10-30,1.2799,-0.23,
2023-10-31,1.2805,0.05,
2023-11-01,1.2804,-0.01,
2023-11-02,1.2832,0.22,
2023-11-05,1.2895,0.49,
2023-11-06,1.291,0.12,
2023-11-07,1.2889,-0.16,
2023-11-08,1.2856,-0.26,
2023-11-09,1.2853,-0.02,
2023-11-12,1.2867,0.11,
2023-11-13,1.287,0.02,
2023-11-14,1.2871,0.01,
2023-11-15,1.2864,-0.05,
2023-11-16,1.2843,-0.16,
2023-11-19,1.2854,0.09,
2023-11-20,1.2808,-0.36,
2023-11-21,1.2758,-0.39,
2023-11-22,1.2764,0.05,
2023-11-23,1.2745,-0.15,
2023-11-26,1.2742,-0.02,
2023-11-27,1.2752,0.08,
2023-11-28,1.2741,-0.09,
2023-11-29,1.2741,0.0,
2023-11-30,1.2785,0.35,
2023-12-03,1.2825,0.31,
2023-12-04,1.2781,-0.34,
2023-12-05,1.2774,-0.05,
2023-12-06,1.2828,0.42,
2023-12-07,1.2838,0.08,
2023-12-10,1.2943,0.82,
2023-12-11,1.3017,0.57,
2023-12-12,1.2951,-0.51,
2023-12-13,1.2938,-0.1,
2023-12-14,1.2926,-0.09,
2023-12-17,1.2899,-0.21,
2023-12-18,1.2919,0.16,
2023-12-19,1.2887,-0.25,
2023-12-20,1.2897,0.08,
2023-12-21,1.2778,-0.92,
2023-12-24,1.2786,0.06,
2023-12-25,1.2743,-0.34,
2023-12-26,1.2743,0.0,
2023-12-27,1.2749,0.05,
2023-12-28,1.2765,0.13,
2023-12-30,1.2766,0.01,
2024-01-01,1.2755,-0.09,
2024-01-02,1.274,-0.12,
2024-01-03,1.2771,0.24,
2024-01-04,1.2746,-0.2,
2024-01-07,1.2727,-0.15,
2024-01-08,1.2731,0.03,
2024-01-09,1.2718,-0.1,
2024-01-10,1.2726,0.06,
2024-01-11,1.271,-0.13,
2024-01-14,1.2706,-0.03,
2024-01-15,1.2709,0.02,
2024-01-16,1.2687,-0.17,
2024-01-17,1.2686,-0.01,
2024-01-18,1.2671,-0.12,
2024-01-21,1.2624,-0.37,
2024-01-22,1.263,0.05,
2024-01-23,1.2635,0.04,
2024-01-24,1.2669,0.27,
2024-01-25,1.2652,-0.13,
2024-01-28,1.2604,-0.38,
2024-01-29,1.257,-0.27,
2024-01-30,1.2549,-0.17,
2024-01-31,1.2549,0.0,
2024-02-01,1.2542,-0.06,
2024-02-04,1.2505,-0.3,
